Date,Year,Home_Team,Away_Team,Home_Score,Away_Score,result,home_win,home_prob_elo,prob_xgb,prob_lr,prob_ensemble,bet_home,implied_odds,flat_stake,flat_return,flat_pnl,kelly_stake,kelly_return,kelly_pnl
2015-02-06,2015,Wales,England,16,21,A,0,0.446,0.4901,0.531,0.5105,False,2.242152466367713,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-07,2015,Germany,Georgia,8,64,A,0,0.314,0.1875,0.2141,0.2008,False,3.1847133757961785,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-07,2015,Italy,Ireland,3,26,A,0,0.055,0.0698,0.1054,0.0876,False,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-07,2015,Portugal,Romania,10,37,A,0,0.33,0.2002,0.3601,0.2801,False,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-07,2015,Spain,Russia,43,20,H,1,0.339,0.3595,0.338,0.3487,False,2.949852507374631,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-07,2015,France,Scotland,15,8,H,1,0.691,0.9457,0.7775,0.8616,True,1.4471780028943562,1.0,1.4471780028943562,0.44717800289435616,0.5695718446601941,0.8242718446601941,0.25470000000000004
2015-02-14,2015,Ireland,France,18,11,H,1,0.869,0.9457,0.8035,0.8746,True,1.1507479861910241,1.0,1.1507479861910241,0.15074798619102414,0.5087961832061069,0.5854961832061069,0.07669999999999999
2015-02-14,2015,England,Italy,47,17,H,1,0.975,1.0,0.9741,0.9871,True,1.0256410256410258,1.0,1.0256410256410258,0.025641025641025772,0.9749999999999959,0.9999999999999959,0.025000000000000022
2015-02-15,2015,Scotland,Wales,23,26,A,0,0.359,0.3595,0.5238,0.4416,False,2.785515320334262,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-28,2015,Scotland,Italy,19,22,A,0,0.825,0.8438,0.891,0.8674,True,1.2121212121212122,1.0,0.0,-1.0,0.0886285714285716,0.0,-0.0886285714285716
2015-02-28,2015,France,Wales,13,20,A,0,0.478,0.7492,0.6976,0.7234,True,2.092050209205021,1.0,0.0,-1.0,0.2483402298850575,0.0,-0.2483402298850575
2015-03-01,2015,Ireland,England,19,9,H,1,0.641,0.6314,0.7045,0.6679,True,1.5600624024960998,1.0,1.5600624024960998,0.5600624024960998,0.0,0.0,0.0
