Date,Year,Home_Team,Away_Team,Home_Score,Away_Score,result,home_win,home_prob_elo,prob_xgb,prob_lr,prob_ensemble,bet_home,implied_odds,flat_stake,flat_return,flat_pnl,kelly_stake,kelly_return,kelly_pnl,Home_Odds,Draw_Odds,Away_Odds,Competition_Odds,_home_odds_used,_away_odds_used,_odds_source,bet_away,flat_home_stake,flat_away_stake,flat_home_return,flat_away_return,flat_home_pnl,flat_away_pnl,flat_pnl_total,kelly_home_f,kelly_away_f,kelly_home_stake,kelly_away_stake,kelly_home_return,kelly_away_return,kelly_home_pnl,kelly_away_pnl,kelly_pnl_total
2015-01-02,2015,Northampton,Newcastle,39,31,H,1,0.98,0.9828,0.9112,0.947,False,1.020408163265306,1.0,1.020408163265306,0.0204081632653061,0.137200000000001,0.1400000000000011,0.0028,,,,,1.0204081632653061,49.99999999999996,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,2015,Exeter,Gloucester,25,26,A,0,0.841,0.8245,0.7373,0.7809,False,1.1890606420927468,1.0,0.0,-1.0,0.0,0.0,0.0,,,,,1.1890606420927468,6.2893081761006275,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,2015,Saracens,London Irish,22,6,H,1,0.967,0.9754,0.895,0.9352,False,1.034126163391934,1.0,1.034126163391934,0.0341261633919338,0.2461454545454564,0.2545454545454564,0.0084,,,,,1.0341261633919339,30.303030303030276,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,2015,London Welsh,Harlequins,13,24,A,0,0.041,0.0081,0.0798,0.044,False,24.390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,,,,,24.390243902439025,1.0427528675703859,elo_implied,True,0.0,1.0,0.0,1.0427528675703859,0.0,0.04275286757038588,0.04275286757038588,0.0,0.15,0.0,1.5,0.0,1.5641293013555788,0.0,0.06412930135557882,0.06412930135557882
2015-01-04,2015,Leicester,Bath,17,8,H,1,0.406,0.6862,0.5272,0.6067,True,2.463054187192118,1.0,2.463054187192118,1.463054187192118,0.1915171717171717,0.4717171717171717,0.2802,,,,,2.463054187192118,1.6835016835016836,elo_implied,False,1.0,0.0,2.463054187192118,0.0,1.4630541871921179,0.0,1.4630541871921179,0.15,0.0,1.5,0.0,3.694581280788177,0.0,2.194581280788177,0.0,2.194581280788177
2015-01-04,2015,Wasps,Sale,41,16,H,1,0.673,0.4884,0.6205,0.5545,False,1.4858841010401187,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.4858841010401187,3.0581039755351687,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,2015,Gloucester,Saracens,24,23,H,1,0.168,0.2699,0.3225,0.2962,False,5.952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.952380952380952,1.2019230769230769,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,2015,Glasgow ,Scarlets,22,7,H,1,0.776,0.8017,0.6764,0.739,False,1.2886597938144329,1.0,1.2886597938144329,0.2886597938144328,0.0890321428571427,0.1147321428571426,0.0256999999999999,,,,,1.2886597938144329,4.464285714285714,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,2015,Connacht,Edinburgh,13,16,A,0,0.7,0.5926,0.631,0.6118,False,1.4285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,,,,,1.4285714285714286,3.333333333333333,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-10,2015,Sale,Northampton,20,7,H,1,0.196,0.3164,0.3207,0.3185,False,5.1020408163265305,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.1020408163265305,1.243781094527363,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-10,2015,Bath,Wasps,39,26,H,1,0.744,0.877,0.6979,0.7875,True,1.3440860215053765,1.0,1.3440860215053765,0.3440860215053762,0.3865312500000001,0.5195312500000001,0.133,,,,,1.3440860215053763,3.90625,elo_implied,False,1.0,0.0,1.3440860215053763,0.0,0.34408602150537626,0.0,0.34408602150537626,0.15,0.0,1.5,0.0,2.0161290322580645,0.0,0.5161290322580645,0.0,0.5161290322580645
2015-01-10,2015,Zebre,Munster,7,31,A,0,0.034,0.0074,0.0788,0.0431,False,29.41176470588235,0.0,0.0,0.0,0.0,0.0,0.0,,,,,29.41176470588235,1.0351966873706004,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-10,2015,Cardiff Blues,Leinster,13,22,A,0,0.142,0.1915,0.2525,0.222,False,7.042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7.042253521126761,1.1655011655011656,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-10,2015,Harlequins,Leicester,32,12,H,1,0.455,0.4456,0.4295,0.4375,False,2.197802197802197,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.1978021978021975,1.8348623853211012,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-11,2015,Ospreys,Dragons,22,11,H,1,0.9,0.9098,0.8122,0.861,False,1.1111111111111112,1.0,1.1111111111111112,0.1111111111111111,0.0882000000000002,0.0980000000000002,0.0098,,,,,1.1111111111111112,10.000000000000002,elo_implied,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
