Date,Year,Home_Team,Away_Team,Home_Score,Away_Score,Actual_Margin,Result,Home_Win,Real_Home_Odds,Real_Away_Odds,Real_Home_Prob,Real_Away_Prob,Real_Spread,Real_Total,ELO_Home_ELO,ELO_Away_ELO,ELO_Home_Prob,ELO_Away_Prob,ELO_Home_Odds,ELO_Away_Odds,ELO_Spread,Model_Home_Prob,Model_Away_Prob,Model_Home_Odds,Model_Away_Odds,Model_Spread,Home_Edge_Model_vs_Real,Home_Edge_ELO_vs_Real,Spread_Edge_Model_vs_Real
2015-03-06,2015,Chiefs,Highlanders,17.0,20.0,-3.0,A,0.0,1.222,4.85,0.7987,0.2013,-10.5,47.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.091,-0.1924,-1.2
2015-03-06,2015,Brumbies,Western Force,27.0,15.0,12.0,H,1.0,1.125,7.38,0.8677,0.1323,-15.5,48.5,1541.0,1498.0,0.6642,0.3358,1.506,2.978,6.6,0.8188,0.1812,1.221,5.519,14.7,-0.0489,-0.2035,-0.8
2015-03-07,2015,Stormers,Sharks,29.0,13.0,16.0,H,1.0,1.751,2.2,0.5568,0.4432,-2.5,41.5,1500.0,1495.0,0.613,0.387,1.631,2.584,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.0327,0.0562,5.8
2015-03-07,2015,Queensland Reds,New South Wales Waratahs,5.0,23.0,-18.0,A,0.0,3.49,1.354,0.2795,0.7205,7.0,47.0,1598.0,1500.0,0.7305,0.2695,1.369,3.711,9.2,0.8188,0.1812,1.221,5.519,9.9,0.5393,0.451,16.9
2015-03-07,2015,Cheetahs,Bulls,20.0,39.0,-19.0,A,0.0,2.15,1.787,0.4539,0.5461,2.5,47.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.2538,0.1524,11.8
2015-03-07,2015,Blues,Lions,10.0,13.0,-3.0,A,0.0,1.181,5.61,0.8261,0.1739,-12.5,45.5,1495.0,1500.0,0.5999,0.4001,1.667,2.499,4.0,0.5241,0.4759,1.908,2.101,4.6,-0.302,-0.2262,-7.9
2015-03-13,2015,Hurricanes,Blues,30.0,23.0,7.0,H,1.0,1.188,5.47,0.8216,0.1784,-11.5,46.5,1500.0,1495.0,0.6126,0.3874,1.632,2.581,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.2975,-0.209,-3.2
2015-03-13,2015,Western Force,Melbourne Rebels,17.0,21.0,-4.0,A,0.0,1.787,2.15,0.5461,0.4539,-2.5,40.5,1498.0,1500.0,0.603,0.397,1.658,2.519,4.1,0.5241,0.4759,1.908,2.101,4.6,-0.022,0.0569,2.1
2015-03-14,2015,Crusaders,Lions,34.0,6.0,28.0,H,1.0,1.111,8.04,0.8786,0.1214,-17.5,50.0,1497.0,1500.0,0.6023,0.3977,1.66,2.514,4.1,0.5241,0.4759,1.908,2.101,4.6,-0.3545,-0.2763,-12.9
2015-03-14,2015,Highlanders,New South Wales Waratahs,26.0,19.0,7.0,H,1.0,2.49,1.606,0.3921,0.6079,3.5,50.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.3156,0.2142,12.8
2015-03-14,2015,Queensland Reds,Brumbies,0.0,29.0,-29.0,A,0.0,3.88,1.304,0.2515,0.7485,8.5,44.5,1598.0,1541.0,0.6814,0.3186,1.468,3.139,7.3,0.773,0.227,1.294,4.405,7.4,0.5215,0.4299,15.9
2015-03-14,2015,Stormers,Chiefs,19.0,28.0,-9.0,A,0.0,1.84,2.08,0.5306,0.4694,-2.5,43.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.1771,0.0757,6.8
2015-03-14,2015,Cheetahs,Sharks,10.0,27.0,-17.0,A,0.0,2.34,1.675,0.4172,0.5828,2.5,49.5,1500.0,1495.0,0.613,0.387,1.631,2.584,4.5,0.5241,0.4759,1.908,2.101,8.3,0.1069,0.1958,10.8
2015-03-20,2015,Highlanders,Hurricanes,13.0,20.0,-7.0,A,0.0,2.26,1.719,0.432,0.568,2.5,49.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.2757,0.1743,11.8
2015-03-20,2015,Melbourne Rebels,Lions,16.0,20.0,-4.0,A,0.0,1.392,3.27,0.7014,0.2986,-7.0,44.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.0063,-0.0951,2.3
2015-03-21,2015,Crusaders,Cheetahs,57.0,14.0,43.0,H,1.0,1.092,8.94,0.8911,0.1089,-19.5,50.5,1497.0,1500.0,0.6023,0.3977,1.66,2.514,4.1,0.5241,0.4759,1.908,2.101,4.6,-0.367,-0.2888,-14.9
2015-03-21,2015,Bulls,Western Force,25.0,24.0,1.0,H,1.0,1.139,6.83,0.8571,0.1429,-13.5,49.0,1500.0,1498.0,0.6096,0.3904,1.64,2.561,4.4,0.5241,0.4759,1.908,2.101,8.3,-0.333,-0.2475,-5.2
2015-03-21,2015,Sharks,Chiefs,12.0,11.0,1.0,H,1.0,1.74,2.22,0.5606,0.4394,-2.5,45.0,1495.0,1500.0,0.5995,0.4005,1.668,2.497,4.0,0.5241,0.4759,1.908,2.101,4.6,-0.0365,0.0389,2.1
2015-03-22,2015,New South Wales Waratahs,Brumbies,28.0,13.0,15.0,H,1.0,1.877,2.03,0.5196,0.4804,-2.5,44.0,1500.0,1541.0,0.5486,0.4514,1.823,2.215,1.9,0.3041,0.6959,3.288,1.437,-2.6,-0.2155,0.029,-5.1
2015-03-27,2015,Queensland Reds,Lions,17.0,18.0,-1.0,A,0.0,1.434,3.05,0.6802,0.3198,-7.0,43.5,1598.0,1500.0,0.7305,0.2695,1.369,3.711,9.2,0.8188,0.1812,1.221,5.519,9.9,0.1386,0.0503,2.9
2015-03-27,2015,Hurricanes,Melbourne Rebels,36.0,12.0,24.0,H,1.0,1.162,6.09,0.8398,0.1602,-12.5,45.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.1321,-0.2335,-3.2
2015-03-28,2015,Bulls,Crusaders,31.0,19.0,12.0,H,1.0,2.23,1.735,0.4376,0.5624,2.5,49.0,1500.0,1497.0,0.6103,0.3897,1.639,2.566,4.4,0.5241,0.4759,1.908,2.101,8.3,0.0865,0.1727,10.8
2015-03-28,2015,Sharks,Western Force,15.0,9.0,6.0,H,1.0,1.2,5.23,0.8134,0.1866,-11.5,45.5,1495.0,1498.0,0.6028,0.3972,1.659,2.518,4.1,0.2075,0.7925,4.819,1.262,-4.9,-0.6059,-0.2106,-16.4
2015-03-28,2015,Chiefs,Cheetahs,37.0,27.0,10.0,H,1.0,1.062,11.75,0.9171,0.0829,-19.5,51.0,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.2094,-0.3108,-10.2
2015-03-28,2015,Highlanders,Stormers,39.0,21.0,18.0,H,1.0,1.512,2.75,0.6452,0.3548,-4.5,45.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.0625,-0.0389,4.8
2015-03-28,2015,New South Wales Waratahs,Blues,23.0,11.0,12.0,H,1.0,1.2,5.23,0.8134,0.1866,-10.5,49.0,1500.0,1495.0,0.6126,0.3874,1.632,2.581,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.2893,-0.2008,-2.2
2015-04-03,2015,Hurricanes,Stormers,25.0,20.0,5.0,H,1.0,1.266,4.26,0.7709,0.2291,-8.0,47.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.0632,-0.1646,1.3
2015-04-03,2015,Melbourne Rebels,Queensland Reds,23.0,15.0,8.0,H,1.0,1.751,2.2,0.5568,0.4432,-2.5,44.5,1500.0,1598.0,0.4667,0.5333,2.143,1.875,-1.3,0.2444,0.7556,4.092,1.323,-5.2,-0.3124,-0.0901,-7.7
2015-04-04,2015,Chiefs,Blues,23.0,16.0,7.0,H,1.0,1.222,4.85,0.7987,0.2013,-9.5,45.5,1500.0,1495.0,0.6126,0.3874,1.632,2.581,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.2746,-0.1861,-1.2
2015-04-04,2015,Brumbies,Cheetahs,20.0,3.0,17.0,H,1.0,1.14,6.76,0.8557,0.1443,-14.5,45.5,1541.0,1500.0,0.6611,0.3389,1.513,2.951,6.4,0.7379,0.2621,1.355,3.815,12.5,-0.1178,-0.1946,-2.0
2015-04-04,2015,Sharks,Crusaders,10.0,52.0,-42.0,A,0.0,1.934,1.97,0.5046,0.4954,-2.5,43.5,1495.0,1497.0,0.6035,0.3965,1.657,2.522,4.1,0.2075,0.7925,4.819,1.262,-4.9,-0.2971,0.0989,-7.4
2015-04-04,2015,Lions,Bulls,22.0,18.0,4.0,H,1.0,2.14,1.793,0.4559,0.5441,2.5,44.0,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.2518,0.1504,11.8
2015-04-10,2015,Blues,Brumbies,16.0,14.0,2.0,H,1.0,2.16,1.781,0.4519,0.5481,2.5,38.5,1495.0,1541.0,0.5421,0.4579,1.845,2.184,1.7,0.3041,0.6959,3.288,1.437,-4.3,-0.1478,0.0902,-1.8
2015-04-11,2015,Crusaders,Highlanders,20.0,25.0,-5.0,A,0.0,1.303,3.89,0.7491,0.2509,-7.5,46.5,1497.0,1500.0,0.6023,0.3977,1.66,2.514,4.1,0.5241,0.4759,1.908,2.101,4.6,-0.225,-0.1468,-2.9
2015-04-11,2015,New South Wales Waratahs,Stormers,18.0,32.0,-14.0,A,0.0,1.241,4.57,0.7864,0.2136,-9.0,43.0,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.0787,-0.1801,0.3
2015-04-11,2015,Western Force,Cheetahs,15.0,24.0,-9.0,A,0.0,1.571,2.58,0.6215,0.3785,-4.0,44.5,1498.0,1500.0,0.603,0.397,1.658,2.519,4.1,0.5241,0.4759,1.908,2.101,4.6,-0.0974,-0.0185,0.6
2015-04-11,2015,Lions,Sharks,23.0,21.0,2.0,H,1.0,1.649,2.39,0.5917,0.4083,-2.5,43.5,1500.0,1495.0,0.613,0.387,1.631,2.584,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.0676,0.0213,5.8
2015-04-11,2015,Bulls,Queensland Reds,43.0,22.0,21.0,H,1.0,1.121,7.53,0.8704,0.1296,-16.0,48.5,1500.0,1598.0,0.4667,0.5333,2.143,1.875,-1.3,0.2444,0.7556,4.092,1.323,-5.2,-0.626,-0.4037,-21.2
2015-04-17,2015,Crusaders,Chiefs,9.0,26.0,-17.0,A,0.0,1.689,2.31,0.5776,0.4224,-2.5,43.5,1497.0,1500.0,0.6023,0.3977,1.66,2.514,4.1,0.5241,0.4759,1.908,2.101,4.6,-0.0535,0.0247,2.1
2015-04-18,2015,Highlanders,Blues,30.0,24.0,6.0,H,1.0,1.322,3.73,0.7383,0.2617,-6.5,48.0,1500.0,1495.0,0.6126,0.3874,1.632,2.581,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.2142,-0.1257,1.8
2015-04-18,2015,Brumbies,Melbourne Rebels,8.0,13.0,-5.0,A,0.0,1.312,3.81,0.7439,0.2561,-7.5,38.5,1541.0,1500.0,0.6611,0.3389,1.513,2.951,6.4,0.7379,0.2621,1.355,3.815,12.5,-0.006,-0.0828,5.0
2015-04-18,2015,Western Force,Stormers,6.0,13.0,-7.0,A,0.0,2.88,1.476,0.3388,0.6612,6.5,44.5,1498.0,1500.0,0.603,0.397,1.658,2.519,4.1,0.5241,0.4759,1.908,2.101,4.6,0.1853,0.2642,11.1
2015-04-18,2015,Hurricanes,New South Wales Waratahs,24.0,29.0,-5.0,A,0.0,1.444,3.01,0.6758,0.3242,-5.0,46.0,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.0319,-0.0695,4.3
2015-04-19,2015,Sharks,Bulls,10.0,17.0,-7.0,A,0.0,2.08,1.84,0.4694,0.5306,2.5,43.0,1495.0,1500.0,0.5995,0.4005,1.668,2.497,4.0,0.5241,0.4759,1.908,2.101,4.6,0.0547,0.1301,7.1
2015-04-19,2015,Cheetahs,Queensland Reds,17.0,18.0,-1.0,A,0.0,1.392,3.27,0.7014,0.2986,-6.0,52.0,1500.0,1598.0,0.4667,0.5333,2.143,1.875,-1.3,0.2444,0.7556,4.092,1.323,-5.2,-0.457,-0.2347,-11.2
2015-04-24,2015,Chiefs,Western Force,35.0,27.0,8.0,H,1.0,1.149,6.48,0.8494,0.1506,-15.5,46.5,1500.0,1498.0,0.6096,0.3904,1.64,2.561,4.4,0.5241,0.4759,1.908,2.101,8.3,-0.3253,-0.2398,-7.2
2015-04-24,2015,Brumbies,Highlanders,31.0,18.0,13.0,H,1.0,1.434,3.05,0.6802,0.3198,-7.0,40.5,1541.0,1500.0,0.6611,0.3389,1.513,2.951,6.4,0.7379,0.2621,1.355,3.815,12.5,0.0577,-0.0191,5.5
2015-04-25,2015,New South Wales Waratahs,Melbourne Rebels,18.0,16.0,2.0,H,1.0,1.219,4.89,0.8005,0.1995,-10.0,40.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.0928,-0.1942,-0.7
2015-04-25,2015,Crusaders,Blues,29.0,15.0,14.0,H,1.0,1.303,3.89,0.7491,0.2509,-9.5,47.5,1497.0,1495.0,0.6086,0.3914,1.643,2.555,4.3,0.2372,0.7628,4.216,1.311,-2.1,-0.5119,-0.1405,-11.6
2015-04-26,2015,Lions,Cheetahs,34.0,29.0,5.0,H,1.0,1.318,3.76,0.7404,0.2596,-10.5,44.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.0327,-0.1341,-1.2
2015-04-26,2015,Stormers,Bulls,15.0,13.0,2.0,H,1.0,1.694,2.3,0.5759,0.4241,-3.5,40.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.1318,0.0304,5.8
2015-04-26,2015,Queensland Reds,Hurricanes,19.0,35.0,-16.0,A,0.0,3.38,1.373,0.2889,0.7111,7.5,46.5,1598.0,1500.0,0.7305,0.2695,1.369,3.711,9.2,0.8188,0.1812,1.221,5.519,9.9,0.5299,0.4416,17.4
2015-05-01,2015,Highlanders,Sharks,48.0,15.0,33.0,H,1.0,1.312,3.81,0.7439,0.2561,-7.5,47.5,1500.0,1495.0,0.613,0.387,1.631,2.584,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.2198,-0.1309,0.8
2015-05-01,2015,Brumbies,New South Wales Waratahs,10.0,13.0,-3.0,A,0.0,1.925,1.98,0.507,0.493,-2.5,39.0,1541.0,1500.0,0.6611,0.3389,1.513,2.951,6.4,0.7379,0.2621,1.355,3.815,12.5,0.2309,0.1541,10.0
2015-05-02,2015,Bulls,Lions,35.0,33.0,2.0,H,1.0,1.301,3.91,0.7503,0.2497,-8.5,46.0,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,-0.0426,-0.144,0.8
2015-05-02,2015,Cheetahs,Stormers,25.0,17.0,8.0,H,1.0,3.33,1.38,0.293,0.707,7.0,46.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.4147,0.3133,16.3
2015-05-02,2015,Melbourne Rebels,Chiefs,16.0,15.0,1.0,H,1.0,2.68,1.534,0.364,0.636,5.5,45.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.3437,0.2423,14.8
2015-05-02,2015,Blues,Western Force,41.0,24.0,17.0,H,1.0,1.344,3.56,0.7259,0.2741,-9.0,46.5,1495.0,1498.0,0.6033,0.3967,1.658,2.521,4.1,0.2075,0.7925,4.819,1.262,-4.9,-0.5184,-0.1226,-13.9
2015-05-02,2015,Hurricanes,Crusaders,29.0,23.0,6.0,H,1.0,1.51,2.76,0.6464,0.3536,-4.5,46.0,1500.0,1497.0,0.6103,0.3897,1.639,2.566,4.4,0.5241,0.4759,1.908,2.101,8.3,-0.1223,-0.0361,3.8
2015-05-08,2015,Melbourne Rebels,Blues,42.0,22.0,20.0,H,1.0,1.512,2.65,0.6367,0.3633,-4.5,47.5,1500.0,1495.0,0.6126,0.3874,1.632,2.581,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.1126,-0.0241,3.8
2015-05-08,2015,Crusaders,Queensland Reds,58.0,17.0,41.0,H,1.0,1.105,7.48,0.8713,0.1287,-16.5,51.5,1497.0,1598.0,0.4625,0.5375,2.162,1.86,-1.5,0.2444,0.7556,4.092,1.323,-5.4,-0.6269,-0.4088,-21.9
2015-05-09,2015,Hurricanes,Sharks,32.0,24.0,8.0,H,1.0,1.175,5.32,0.8191,0.1809,-11.5,51.5,1500.0,1495.0,0.613,0.387,1.631,2.584,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.295,-0.2061,-3.2
2015-05-09,2015,Western Force,New South Wales Waratahs,18.0,11.0,7.0,H,1.0,4.08,1.26,0.236,0.764,9.0,45.5,1498.0,1500.0,0.603,0.397,1.658,2.519,4.1,0.5241,0.4759,1.908,2.101,4.6,0.2881,0.367,13.6
2015-05-09,2015,Lions,Highlanders,28.0,23.0,5.0,H,1.0,1.862,1.99,0.5166,0.4834,-2.5,51.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.1911,0.0897,6.8
2015-05-09,2015,Stormers,Brumbies,25.0,24.0,1.0,H,1.0,1.657,2.3,0.5812,0.4188,-3.0,40.5,1500.0,1541.0,0.5486,0.4514,1.823,2.215,1.9,0.3041,0.6959,3.288,1.437,-2.6,-0.2771,-0.0326,-5.6
2015-05-15,2015,Blues,Bulls,23.0,18.0,5.0,H,1.0,2.09,1.833,0.4672,0.5328,2.5,39.0,1495.0,1500.0,0.5999,0.4001,1.667,2.499,4.0,0.5241,0.4759,1.908,2.101,4.6,0.0569,0.1327,7.1
2015-05-15,2015,Queensland Reds,Melbourne Rebels,46.0,29.0,17.0,H,1.0,2.44,1.625,0.3998,0.6002,3.0,44.5,1598.0,1500.0,0.7305,0.2695,1.369,3.711,9.2,0.8188,0.1812,1.221,5.519,9.9,0.419,0.3307,12.9
2015-05-16,2015,Hurricanes,Chiefs,22.0,18.0,4.0,H,1.0,1.416,3.14,0.6892,0.3108,-6.5,44.5,1500.0,1500.0,0.6063,0.3937,1.649,2.54,4.3,0.7077,0.2923,1.413,3.421,9.3,0.0185,-0.0829,2.8
2015-05-16,2015,New South Wales Waratahs,Sharks,33.0,18.0,15.0,H,1.0,1.259,4.34,0.7751,0.2249,-9.5,48.0,1500.0,1495.0,0.613,0.387,1.631,2.584,4.5,0.5241,0.4759,1.908,2.101,8.3,-0.251,-0.1621,-1.2
2015-05-16,2015,Lions,Brumbies,20.0,30.0,-10.0,A,0.0,2.04,1.869,0.4781,0.5219,2.5,47.0,1500.0,1541.0,0.5486,0.4514,1.823,2.215,1.9,0.3041,0.6959,3.288,1.437,-2.6,-0.174,0.0705,-0.1
