Date,Year,Home_Team,Away_Team,Home_Score,Away_Score,result,home_win,home_prob_elo,prob_xgb,prob_lr,prob_ensemble,bet_home,implied_odds,flat_stake,flat_return,flat_pnl,kelly_stake,kelly_return,kelly_pnl,Home_Odds,Draw_Odds,Away_Odds,Competition_Odds
2015-01-02,2015,Northampton,Newcastle,39,31,H,1,0.98,0.9828,0.9112,0.947,True,1.020408163265306,1.0,1.020408163265306,0.0204081632653061,0.137200000000001,0.1400000000000011,0.0028,,,,
2015-01-03,2015,Exeter,Gloucester,25,26,A,0,0.841,0.8245,0.7373,0.7809,True,1.1890606420927468,1.0,0.0,-1.0,0.0,0.0,0.0,,,,
2015-01-03,2015,Saracens,London Irish,22,6,H,1,0.967,0.9754,0.895,0.9352,True,1.034126163391934,1.0,1.034126163391934,0.0341261633919338,0.2461454545454564,0.2545454545454564,0.0084,,,,
2015-01-04,2015,London Welsh,Harlequins,13,24,A,0,0.041,0.0081,0.0798,0.044,False,24.390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015-01-04,2015,Leicester,Bath,17,8,H,1,0.406,0.6862,0.5272,0.6067,True,2.463054187192118,1.0,2.463054187192118,1.463054187192118,0.1915171717171717,0.4717171717171717,0.2802,,,,
2015-01-04,2015,Wasps,Sale,41,16,H,1,0.673,0.4884,0.6205,0.5545,False,1.4858841010401187,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015-01-09,2015,Gloucester,Saracens,24,23,H,1,0.168,0.2699,0.3225,0.2962,False,5.952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015-01-09,2015,Glasgow ,Scarlets,22,7,H,1,0.776,0.8017,0.6764,0.739,True,1.2886597938144329,1.0,1.2886597938144329,0.2886597938144328,0.0890321428571427,0.1147321428571426,0.0256999999999999,,,,
2015-01-09,2015,Connacht,Edinburgh,13,16,A,0,0.7,0.5926,0.631,0.6118,True,1.4285714285714286,1.0,0.0,-1.0,0.0,0.0,0.0,,,,
2015-01-10,2015,Sale,Northampton,20,7,H,1,0.196,0.3164,0.3207,0.3185,False,5.1020408163265305,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015-01-10,2015,Bath,Wasps,39,26,H,1,0.744,0.877,0.6979,0.7875,True,1.3440860215053765,1.0,1.3440860215053765,0.3440860215053762,0.3865312500000001,0.5195312500000001,0.133,,,,
