Date,Home_Team,Away_Team,Home_Odds,Draw_Odds,Away_Odds,Competition,Source
2015-03-06,Chiefs,Highlanders,1.19,24.98,4.74,Data,aussportsbetting.com
2015-03-06,Brumbies,Force,1.13,28.08,6.02,Data,aussportsbetting.com
2015-03-07,Stormers,Sharks,1.64,19.87,2.3,Data,aussportsbetting.com
2015-03-07,Cheetahs,Bulls,2.06,20.15,1.79,Data,aussportsbetting.com
2015-03-07,Reds,Waratahs,3.12,22.47,1.38,Data,aussportsbetting.com
2015-03-07,Blues,Lions,1.17,26.45,5.0,Data,aussportsbetting.com
2015-03-13,Hurricanes,Blues,1.19,25.61,4.88,Data,aussportsbetting.com
2015-03-13,Force,Rebels,1.7,20.67,2.19,Data,aussportsbetting.com
2015-03-14,Cheetahs,Sharks,2.18,20.28,1.71,Data,aussportsbetting.com
2015-03-14,Stormers,Chiefs,1.76,20.5,2.1,Data,aussportsbetting.com
2015-03-14,Crusaders,Lions,1.08,31.09,7.58,Data,aussportsbetting.com
2015-03-14,Highlanders,Waratahs,2.35,21.32,1.61,Data,aussportsbetting.com
2015-03-14,Reds,Brumbies,3.73,23.52,1.28,Data,aussportsbetting.com
2015-03-20,Rebels,Lions,1.33,22.54,3.46,Data,aussportsbetting.com
2015-03-20,Highlanders,Hurricanes,2.12,20.39,1.76,Data,aussportsbetting.com
2015-03-21,Bulls,Force,1.12,29.27,6.33,Data,aussportsbetting.com
2015-03-21,Sharks,Chiefs,1.67,20.74,2.26,Data,aussportsbetting.com
2015-03-21,Crusaders,Cheetahs,1.07,34.08,8.57,Data,aussportsbetting.com
2015-03-22,Waratahs,Brumbies,1.8,20.52,2.06,Data,aussportsbetting.com
2015-03-27,Hurricanes,Rebels,1.15,28.42,5.5,Data,aussportsbetting.com
2015-03-27,Reds,Lions,1.35,22.53,3.26,Data,aussportsbetting.com
2015-03-28,Chiefs,Cheetahs,1.06,32.74,8.59,Data,aussportsbetting.com
2015-03-28,Highlanders,Stormers,1.59,20.29,2.4,Data,aussportsbetting.com
2015-03-28,Waratahs,Blues,1.18,26.35,4.8,Data,aussportsbetting.com
2015-03-28,Sharks,Force,1.17,26.6,4.94,Data,aussportsbetting.com
2015-03-28,Bulls,Crusaders,2.09,20.08,1.78,Data,aussportsbetting.com
